inn;name;full_name;site;region;address;contacts;email;revenue_year;revenue,  млн.руб;okved_main;segment_tag;source;fns_card
7714760289;LBL;"ООО ""ЛБЛ ПРОЕКТ""";https://www.lbl.ru/;Москва;Москва, 3-я улица Ямского поля, д. 32;+7 (495) 789-45-42;info@lbl.ru;2025;986,9;73.11 Деятельность рекламных агентств;"BTL;digital;indoor;Агентства наружной рекламы;брендинговое;видеопродакшн;коммуникационное;медиа;рекламное";marketingtech;https://bo.nalog.gov.ru/organizations-card/12334636
7737069568;DDVB;ООО «ДИРЕКТ-ДИЗАЙН»;https://www.ddvb.ru/;Москва;Москва, ул. Земляной вал, 46, помещение 41;+7 (495) 916-01-23;info@ddvb.ru;2025;227,3;70.22 Консультирование по вопросам коммерческой деятельности и управления;"BTL;digital;брендинговое;Дизайн сайтов;коммуникационное;креативное;полного цикла;рекламное;Агентства наружной рекламы;аналитическое;контент;маркетинговое;репутация;3";marketingtech;https://bo.nalog.gov.ru/organizations-card/6572692
7704806343;DPG Russia;"ООО ""ДИ ПИ ДЖИ""";https://www.dpgrussia.com;Москва;Москва, ул. Полковая, 3, стр. 5;+7 (495) 181-74-45;"a.petrova@dpgrussia.com; agency@dpgrussia.com; biriukov@dpgrussia.com; cybina@dpgrussia.com; espinosa@dpgrussia.com; kremer@dpgrussia.com; nalbandian@dpgrussia.com; rodionova@dpgrussia.com; saviniukhova@dpgrussia.com; shvedova@dpgrussia.com";2025;1100;70.22 Консультирование по вопросам коммерческой деятельности и управления;"BTL;event;брендинговое;креативное;CPA маркетинга;аналитическое;коммуникационное;маркетинговое;рекламное";marketingtech;https://bo.nalog.gov.ru/organizations-card/1304744
9715291509;Doctorteam;"ООО ""ДОКТОР ТИМ""";https://doctorteam.ru/;Москва;Москва, Новодмитровская 2к2;+7 (495) 155-05-00;info@doctorteam.ru;2025;760;93.29.9 Деятельность зрелищно-развлекательная прочая, не включенная в другие группировки;"BTL;event;PR;SMM;брендинговое;Разработка мобильных приложений;СММ;технологическое";marketingtech;https://bo.nalog.gov.ru/organizations-card/10094197
7707614424;Tma draft;"ООО ""ТМА МАРКЕТИНГ СЕРВИСЕЗ""";https://tma-agency.ru/;Москва;Москва, Космодамианская набережная, д. 52, стр. 5;+7 (495) 785-17-07;igerasimenko@tma-draft.com;2024;1500;73.11 Деятельность рекламных агентств;"BTL;event;маркетинговые исследования;мерчендайзинга;аналитическое;маркетинговое";marketingtech;https://bo.nalog.gov.ru/organizations-card/5787889
7726372393;Servizoria;ООО «СЕРВИЗОРИЯ»;https://servizoria.ru;Москва;Москва, Гамсоновский пер., 2, стр. 1, 2 этаж;+7 (495) 268-02-44;"sales@servizoria.ru; support@servizoria.ru";2025;313,6;73.20 Исследование конъюнктуры рынка и изучение общественного мнения;"BTL;event;маркетинговые исследования;мерчендайзинга;аналитическое;маркетинговое";marketingtech;https://bo.nalog.gov.ru/organizations-card/9676678
7726383437;be all bright! group;ООО «БОБ КО»;https://beallbright.com/;Москва;Москва, Каширское ш, д. 3 к. 2 стр. 4, помещ. 2А/3;+7 (499) 430-01-86;info@beallbright.com;2025;312,6;73.11 Деятельность рекламных агентств;"BTL;digital;event;SMM;видеопродакшн";marketingtech;https://bo.nalog.gov.ru/organizations-card/9860869
7813604450;Master In;"ООО ""МАСТЕР ИН СТРАНА""";http://master-in.ru/;Санкт-Петербург; Санкт-Петербург, ул. Инструментальная, 3;+7 (495) 255-06-07;sale@master-in.ru;2025;298,4;73.11 Деятельность рекламных агентств;"BTL;event;indoor;Агентства наружной рекламы";marketingtech;https://bo.nalog.gov.ru/organizations-card/8998689
5257143257;Acosta;"ООО ""АКОСТА ГРУПП""";https://acostamerch.ru;Нижний Новгород;Нижний Новгород, ул. Керченская, 13;+7 (831) 410-94-24;info@acostamerch.ru;2025;236;73.11 Деятельность рекламных агентств;"BTL;event;мерчендайзинга;аналитическое;Аутстаффинг;репутация";marketingtech;https://bo.nalog.gov.ru/organizations-card/8351043
7715865774;AMERICHIP;"ООО ""АМЕРИЧИП""";https://www.americhip.ru;Москва;Москва, ул. Рочдельская, 15, стр. 17-18;+7 (499) 962-83-80;INFO@AMERICHIP.RU;2025;221,7;73.1 Деятельность рекламная;"BTL;event;видеопродакшн;креативное;рекламное;Агентства наружной рекламы";marketingtech;https://bo.nalog.gov.ru/organizations-card/4087302
