inn;ogrn;name;full_name;site;region;address;contacts;email;revenue_year;revenue;segment_tag;source;doc_url;doc_type
;;LBL;;https://www.lbl.ru/;Москва;Москва, 3-я улица Ямского поля, д. 32;+7 (495) 789-45-42;;;986900000.0;"BTL;digital;indoor;Агентства наружной рекламы;брендинговое;видеопродакшн;коммуникационное;медиа;рекламное";marketingtech;;homepage
;;DDVB;;https://www.ddvb.ru/;Москва;Москва, ул. Земляной вал, 46, помещение 41;+7 (495) 916-01-23;info@ddvb.ru;;227300000.0;"BTL;digital;брендинговое;Дизайн сайтов;коммуникационное;креативное;полного цикла;рекламное;Агентства наружной рекламы;аналитическое;контент;маркетинговое;репутация;3";marketingtech;https://www.ddvb.ru/upload/files/DDVB2025.pdf;pdf
;;DPG Russia;;https://www.dpgrussia.com;Москва;Москва, ул. Полковая, 3, стр. 5;+7 (495) 181-74-45;"a.petrova@dpgrussia.com; agency@dpgrussia.com; biriukov@dpgrussia.com; cybina@dpgrussia.com; espinosa@dpgrussia.com; kremer@dpgrussia.com; nalbandian@dpgrussia.com; rodionova@dpgrussia.com; saviniukhova@dpgrussia.com; shvedova@dpgrussia.com";2012.0;1100000000.0;"BTL;event;брендинговое;креативное;CPA маркетинга;аналитическое;коммуникационное;маркетинговое;рекламное";marketingtech;https://dpgrussia.com/wp-content/uploads/2025/05/Политика_обработки_персональных_данных.pdf;pdf
;;Doctorteam;;https://doctorteam.ru/;Москва;Москва, Новодмитровская 2к2;+7 (495) 155-05-00;info@doctorteam.ru;2004.0;760000000.0;"BTL;event;PR;SMM;брендинговое;Разработка мобильных приложений;СММ;технологическое";marketingtech;;homepage
;;Orange Promo;;http://orange.co.ru/;Москва;Москва, ул. Дербеневская, 15Б, 2 этаж;+7 (495) 955-94-15;;;331700000.0;"BTL;event;мерчендайзинга";marketingtech;;
;;Servizoria;ООО «СЕРВИЗОРИЯ»;https://servizoria.ru;Москва;Москва, Гамсоновский пер., 2, стр. 1, 2 этаж;+7 (495) 268-02-44;"sales@servizoria.ru; support@servizoria.ru";2022;313600000.0;"BTL;event;маркетинговые исследования;мерчендайзинга;аналитическое;маркетинговое";marketingtech;https://servizoria.ru/wp-content/uploads/2025/07/section-reviews-pdf-1.pdf;pdf
;;be all bright! group;ООО «БОБ КО»;https://beallbright.com/;Москва;Москва, Каширское ш, д. 3 к. 2 стр. 4, помещ. 2А/3;+7 (499) 430-01-86;info@beallbright.com;;312600000.0;"BTL;digital;event;SMM;видеопродакшн";marketingtech;https://beallbright.com/s/documents/polzovatelskoe_soglasenie.pdf;pdf
;;Master In;;http://master-in.ru/;Санкт-Петербург;Москва, Санкт-Петербург, ул. Инструментальная, 3;+7 (495) 255-06-07;;;298400000.0;"BTL;event;indoor;Агентства наружной рекламы";marketingtech;;homepage
;;Acosta;;https://acostamerch.ru;Нижний Новгород;Нижний Новгород, ул. Керченская, 13;+7 (831) 410-94-24;;;236000000.0;"BTL;event;мерчендайзинга;аналитическое;Аутстаффинг;репутация";marketingtech;;
;;AMERICHIP;;https://www.americhip.ru;Москва;Москва, ул. Рочдельская, 15, стр. 17-18;+7 (499) 962-83-80;INFO@AMERICHIP.RU;;221700000.0;"BTL;event;видеопродакшн;креативное;рекламное;Агентства наружной рекламы";marketingtech;;homepage
;;Marvelous;;https://marvelous.ru/;Москва;Москва, ул. Скаковая, 36, офис 301;+7 (495) 604-10-57;;;201100000.0;"BTL;digital;PR;креативное";marketingtech;;homepage
;1712135430098;emg;;http://emg.ru;Москва;Москва, ул. Народная, 14, стр. 3;+7 (495) 797-86-64;emg@emg.ru;1996;;"Стратегическое планирование;Оформление мест продаж POS;Мерчандайзинг;BTL агентства;Лидеры рынка;Презентации;Избранное;Сэмплинг;РАМУ;АКАР;emg";alladvertising;;homepage
;;OPEN Group;;https://open-com.ru;Москва;Москва,  Ленинградский пр., 36, стр. 11, офис 701;+7 (499) 649-00-80;sales@open-com.ru;;;"Стратегическое планирование;Оформление мест продаж POS;Мерчандайзинг;BTL агентства;Лидеры рынка;OPEN Group;Избранное;Сэмплинг;Indoor;РАМУ;АКАР";alladvertising;;
;;Creon;"ООО ""СИ ДЖИ СИ""";https://creon-cg.com;Москва;Москва, ул. Большая Новодмитровская, 36, стр. 2;+7 (499) 372-32-31;info@creon-cg.com;2025;;"Оформление мест продаж POS;BTL агентства;Лидеры рынка;Презентации;Избранное;Creon PR;Сэмплинг;Стенды;Creon;РАМУ";alladvertising;;homepage
;;BM Group;"ООО BM GROUP """;https://bm-technology.ru;Москва;Москва, Б. Полуярославский пер., 10, корп. 2;+7 (495) 150-16-14;info@bm-technology.ru;2020;;"Нестандартные носители;Дополненная реальность;Витрины и вывески;BTL агентства;Лидеры рынка;Избранное;BM Group;Стенды;Indoor";alladvertising;;homepage
