inn,name,revenue_year,revenue,segment_tag,source,rating_ref,okved_main,employees,site,description,region,contacts,founded,specializations,services,address
,LBL,,986900000,BTL;digital;indoor;Агентства наружной рекламы;брендинговое;видеопродакшн;коммуникационное;медиа;рекламное,marketingtech,https://marketing-tech.ru/companies/lbl/,,300,https://www.lbl.ru/,"28 лет LBL CG успешно предоставляет медиа-услуги, создает и продюсирует различные мультимедийные шоу. Группа состоит из Рекламного агентства LBL и производственной компании LBL Print, имеет собственное производство и крупнейшие медиафасады. LBL CG занимает лидирующие позиции в области широкоформатной печати. Коммуникационная группа LBL является официальным координатором Московского международного фестиваля световых технологий «Круг света» с 2013 года. Мероприятия фестиваля проводятся ежегодно на открытых пространствах и в концертных залах города с применением лазерных проекций, светотехнических инсталляций и пиротехники. Зрительская аудитория составляет порядка 3 млн. человек на площадках и более 150 млн. пользователей в социальных сетях ежегодно. Проекты, над которыми работала компания, не раз попадали в Книгу рекордов Гиннеса. Например, в 2018 году, по итогам проведения фестиваля, были зафиксированы следующие рекорды:",Москва,8 (495) 789-45-42,1992,PR и SMM;Digital дизайн и креатив;SEO оптимизация;Комплексные digital услуги,SMM;Performance-маркетинг;SEO-оптимизация;Видео-производство;Медиа-закупки в цифровой среде;Наружная реклама;Разработка комплексной digital-стратегии компании/бренда;Разработка креативной стратегии присутствия в digital-среде;Разработка мобильных приложений;Разработка сайтов;Таргетированная реклама в социальных сетях;Все,"Россия, Москва, 3-я улица Ямского поля, д. 32"
,DDVB,,227300000,BTL;digital;брендинговое;Дизайн сайтов;коммуникационное;креативное;полного цикла;рекламное;Агентства наружной рекламы;аналитическое;контент;маркетинговое;репутация;3,marketingtech,https://marketing-tech.ru/companies/ddvb/,,52,https://www.ddvb.ru/,DDVB — опытное брендинговое агентство полного цикла.,Москва,+7 (495) 916-01-23,1995,Digital дизайн и креатив;Брендинг;Дизайн сайтов,Digital-дизайн и креатив;Брендинг;Дизайн сайтов;Дизайн упаковки;Коммуникационная стратегия;Корпоративный брендинг;Креативная концепция;Креативная рамка;Креативная стратегия;Наружная реклама;Нейминг;Разработка брендбука;Разработка дизайн-системы digital проектов;Разработка комплексной digital-стратегии компании/бренда;Разработка креативной стратегии присутствия в digital-среде;Рекламные ролики;Стратегия и позиционирование бренда;Фирменный стиль;Формирование портфеля брендов;Фудстайлинг;Все,"Россия, Москва, ул. Земляной вал, 46, помещение 41"
,DPG Russia,,1100000000,BTL;event;брендинговое;креативное;CPA маркетинга;аналитическое;коммуникационное;маркетинговое;рекламное,marketingtech,https://marketing-tech.ru/companies/dpg-russia/,,100,https://www.dpgrussia.com,"DPG Russia (Dynamic Projects Group, «ДИ ПИ Джи») было основано в 2012 году в Москве и на сегодняшний день специализируется на разработке бренд-стратегий, креативных подходах и высокотехнологичных решениях в сфере коммуникаций.",Москва,+7 (495) 181-74-45,2012,CRM маркетинг;Digital дизайн и креатив;Брендинг,CRM-маркетинг;Event маркетинг и организация мероприятий;Брендинг;Разработка креативной стратегии присутствия в digital-среде,"ул. Полковая, 3, стр. 5"
,Doctorteam,,760000000,BTL;event;PR;SMM;брендинговое;Разработка мобильных приложений;СММ;технологическое,marketingtech,https://marketing-tech.ru/companies/doctorteam/,,20,https://doctorteam.ru/,"Компания была основана в 2014 году группой профессионалов, которые быстро заняли нишу в организации тимбилдингов и развлекательных программ. В 2016 году к ним присоединились известные бренды, что принесло первые отраслевые награды.",Москва,+7 (495) 155-05-00,2014,PR и SMM,Event маркетинг и организация мероприятий;SMM;Брендинг;Разработка мобильных приложений,"Россия, Москва, Новодмитровская 2к2"
,Orange Promo,,331700000,BTL;event;мерчендайзинга,marketingtech,https://marketing-tech.ru/companies/orange-promo/,,200,http://orange.co.ru/,"Рекламное агентство Orange Promo (Orange BTL) было основано в 2001 году в Москве и является лидером на рекламном BTL-рынке России. Агентство входит в состав Orange Group, объединяющей более 200 сотрудников.",Москва,+7 (495) 955-94-15,2001,PR и SMM,Event маркетинг и организация мероприятий;SMM,"ул. Дербеневская, 15Б, 2 этаж"
,Servizoria,,313600000,BTL;event;маркетинговые исследования;мерчендайзинга;аналитическое;маркетинговое,marketingtech,https://marketing-tech.ru/companies/servizoria/,,20,https://servizoria.ru,Компания Servizoria была основана в 2016 году в Москве и специализируется на предоставлении услуг Mystery Shopping (Тайный Покупатель) и улучшении качества обслуживания потребителей. Агентство имеет значительный опыт реализации проектов в России и других странах СНГ.,Москва,+7 (495) 268-02-44,2016,PR и SMM,Event маркетинг и организация мероприятий,"Гамсоновский пер., 2, стр. 1, 2 этаж"
,be all bright! group,,312600000,BTL;digital;event;SMM;видеопродакшн,marketingtech,https://marketing-tech.ru/companies/be-all-bright-group/,,22,https://beallbright.com/,"“be all bright! group — продюсерский центр маркетинговых коммуникаций с экспертизой в событийном маркетинге, креативе и диджитале. Команда работает в России, странах СНГ и Европе.",Москва,+7 (499) 430-01-86,2016,Event маркетинг и организация мероприятий;PR и SMM;Видеопродакшн,Видео-производство;Event маркетинг и организация мероприятий;SMM,"Россия, Москва, Каширское ш, д. 3 к. 2 стр. 4, помещ. 2А/3"
,Master In,,298400000,BTL;event;indoor;Агентства наружной рекламы,marketingtech,https://marketing-tech.ru/companies/master-in/,,50,http://master-in.ru/,Рекламное агентство Master In («Мастер Ин») было основано в 2009 году в Санкт-Петербурге и сегодня является частью группы компаний «ОММИ». Офис агентства также работает в Москве.,Санкт-Петербург,+7 (495) 255-06-07,2009,PR и SMM,Event маркетинг и организация мероприятий;SMM,"ул. Инструментальная, 3"
,Acosta,,236000000,BTL;event;мерчендайзинга;аналитическое;Аутстаффинг;репутация,marketingtech,https://marketing-tech.ru/companies/acosta/,,45,https://acostamerch.ru,"Компания Acosta Merchandising Agency была основана в 2011 году в Нижнем Новгороде и занимается продвижением брендов в федеральных и локальных торговых сетях. Представительства компании работают в 20 крупнейших городах России, а штат внешних сотрудников насчитывает 2700 человек.",Нижний Новгород,+7 (831) 410-94-24,2011,PR и SMM,Event маркетинг и организация мероприятий,"ул. Керченская, 13"
,AMERICHIP,,221700000,BTL;event;видеопродакшн;креативное;рекламное;Агентства наружной рекламы,marketingtech,https://marketing-tech.ru/companies/americhip/,,30,https://www.americhip.ru,"Компания AMERICHIP («Америчип») была основана в 1987 году в США, а российское представительство открылось в 2010 году. В настоящее время компания имеет более 15 филиалов по всему миру и около 10 эксклюзивных дистрибьюторов в странах Европы и Азии.",Москва,+7 (499) 962-83-80,2010,Digital дизайн и креатив;Видеопродакшн,Digital-дизайн и креатив;Event маркетинг и организация мероприятий;Видео-производство,"ул. Рочдельская, 15, стр. 17-18"
