name,region,site,contacts,email,address,founded,segment_tag,description,rating_ref,source,img_src,img_alt
Текарт,,https://techart.ru,,,,,,,https://techart.ru,pavezlo.ru,,
SVISTUNOV,,https://svistunoff.com,,,,,,,https://svistunoff.com,pavezlo.ru,,
INRAISE,,https://inraise.ru,,,,,,,https://inraise.ru,pavezlo.ru,,
Demis Group,,https://www.demis.ru,,,,,,,https://www.demis.ru,pavezlo.ru,,
Mamontov.top,,https://mamontov.top,,,,,,,https://mamontov.top,pavezlo.ru,,
CoffeeStudio,,https://coffeestudio.ru,,,,,,,https://coffeestudio.ru,pavezlo.ru,,
Реаспект,,https://www.reaspekt.ru,,,,,,,https://www.reaspekt.ru,pavezlo.ru,,
Импульс-Маркетинг,,https://impulsit.ru,,,,,,,https://impulsit.ru,pavezlo.ru,,
Advertalyze,,https://advertalyze.ru,,,,,,,https://advertalyze.ru,pavezlo.ru,,
IT-Градиент,,https://it-gradient.ru,,,,,,,https://it-gradient.ru,pavezlo.ru,,
WOM MEDIA,,https://wom-media.ru,,,,,,,https://wom-media.ru,pavezlo.ru,,
PANDA Digital Group,,https://pandasmm.ru,,,,,,,https://pandasmm.ru,pavezlo.ru,,
ArrowMedia,,https://arwm.ru,,,,,,,https://arwm.ru,pavezlo.ru,,
Action,,https://action.ru/?from,,,,,,,https://action.ru/?from,pavezlo.ru,,
KIT SOLER,,https://kitsoler.ru,,,,,,,https://kitsoler.ru,pavezlo.ru,,
Точно,,https://tochnoagency.ru/,,,,,,,https://tochnoagency.ru/,pavezlo.ru,,
SV Digital,,https://sv-digital.com,,,,,,,https://sv-digital.com,pavezlo.ru,,
HEIGHT LINE,,https://hl2b.ru,,,,,,,https://hl2b.ru,pavezlo.ru,,
Business Pulse,,https://business-pulse.ru,,,,,,,https://business-pulse.ru,pavezlo.ru,,
Карбуст,,https://karboost.ru,,,,,,,https://karboost.ru,pavezlo.ru,,
T4ka.ru,,https://t4ka.ru/,,,,,,,https://t4ka.ru/,pavezlo.ru,,
Импульс,,https://impulse-marketing.ru/,,,,,,,https://impulse-marketing.ru/,pavezlo.ru,,
Marsa,,https://marsa.pro/,,,,,,,https://marsa.pro/,pavezlo.ru,,
IT agency,,https://www.it-agency.ru/,,,,,,,https://www.it-agency.ru/,pavezlo.ru,,
MD Marketing,,https://mdmarketing.ru,,,,,,,https://mdmarketing.ru,pavezlo.ru,,
Sda,,https://sdamarketing.ru/,,,,,,,https://sdamarketing.ru/,pavezlo.ru,,
ROIburo,,https://roiburo.ru,,,,,,,https://roiburo.ru,pavezlo.ru,,
СайтКрафт,,https://saitcraft.ru/,,,,,,,https://saitcraft.ru/,pavezlo.ru,,
Сектор бизнеса,,https://agency.sector.business/,,,,,,,https://agency.sector.business/,pavezlo.ru,,
B2B-creative,,https://b2b-creative.ru/,,,,,,,https://b2b-creative.ru/,pavezlo.ru,,
SETEVIE,,https://setevie.com,,,,,,,https://setevie.com,pavezlo.ru,,
Wow,,https://wow.wearewowagency.com,,,,,,,https://wow.wearewowagency.com,pavezlo.ru,,
AXE MARKETING,,https://axemarketing.ru,,,,,,,https://axemarketing.ru,pavezlo.ru,,
Толстенко маркетинг,,https://tolstenko-marketing.ru,,,,,,,https://tolstenko-marketing.ru,pavezlo.ru,,
Бородатый маркетинг,,https://bearded-marketing.ru,,,,,,,https://bearded-marketing.ru,pavezlo.ru,,
INTERVOLGA,,https://www.intervolga.ru/adv/,,,,,,,https://www.intervolga.ru/adv/,pavezlo.ru,,
Девятка,,https://marketingnine.ru/?utm_source=marketing-tech,,,,,,,https://marketingnine.ru/?utm_source=marketing-tech,pavezlo.ru,,
Trafficmall,,https://trafficmall.site/,,,,,,,https://trafficmall.site/,pavezlo.ru,,
4 Пикселя,,https://4px.ru/,,,,,,,https://4px.ru/,pavezlo.ru,,
НОВОЕ АГЕНТСТВО,,https://novoe.online/services/,,,,,,,https://novoe.online/services/,pavezlo.ru,,
Акцент на результат,Санкт-Петербург,https://www.aaccent.ru/spb/,,,,,,,https://www.aaccent.ru/spb/,pavezlo.ru,,
Collaba Digital,Санкт-Петербург,https://collaba.digital/,,,,,,,https://collaba.digital/,pavezlo.ru,,
KOTTE;,Санкт-Петербург,https://kotte.agency/,,,,,,,https://kotte.agency/,pavezlo.ru,,
ВМЕСТЕ,Санкт-Петербург,https://vmeste.marketing,,,,,,,https://vmeste.marketing,pavezlo.ru,,
Yummies,Санкт-Петербург,https://yummies.ru,,,,,,,https://yummies.ru,pavezlo.ru,,
Inbox marketing,Санкт-Петербург,https://inbox-marketing.ru,,,,,,,https://inbox-marketing.ru,pavezlo.ru,,
Hastra,Санкт-Петербург,https://hastra.ru/sankt-peterburg/,,,,,,,https://hastra.ru/sankt-peterburg/,pavezlo.ru,,
Setevie Agency,Санкт-Петербург,https://setevie.com,,,,,,,https://setevie.com,pavezlo.ru,,
D4B.media,Санкт-Петербург,https://www.d4bmedia.com/,,,,,,,https://www.d4bmedia.com/,pavezlo.ru,,
Lio;,Санкт-Петербург,https://l-io.ru,,,,,,,https://l-io.ru,pavezlo.ru,,
Ай кью,Санкт-Петербург,https://iqdesign.ru/,,,,,,,https://iqdesign.ru/,pavezlo.ru,,
imakers,Санкт-Петербург,https://imakers.ru/,,,,,,,https://imakers.ru/,pavezlo.ru,,
Соломка,Санкт-Петербург,https://solomka.biz/?yclid=11264805627982249983&utm_term=---autotargeting&utm_campaign=115957217&utm_source=yandex&utm_content=16664296043&utm_medium=rsy_401,,,,,,,https://solomka.biz/?yclid=11264805627982249983&utm_term=---autotargeting&utm_campaign=115957217&utm_source=yandex&utm_content=16664296043&utm_medium=rsy_401,pavezlo.ru,,
SDA,Санкт-Петербург,https://sdamarketing.ru,,,,,,,https://sdamarketing.ru,pavezlo.ru,,
Voropaev Media,Санкт-Петербург,https://voropaevmedia.com/,,,,,,,https://voropaevmedia.com/,pavezlo.ru,,
Mobisharks,Москва,https://mobisharks.com/en,,,,,,,https://mobisharks.com/en,pavezlo.ru,,
Tandem Group,Москва,https://tandemdigital.ru,,,,,,,https://tandemdigital.ru,pavezlo.ru,,
Комплето,Москва,https://www.completo.ru,,,,,,,https://www.completo.ru,pavezlo.ru,,
RapidWeb.Me,Москва,https://rapidweb.me/ru/,,,,,,,https://rapidweb.me/ru/,pavezlo.ru,,
A1 team,Москва,https://www.a1-team.ru/,,,,,,,https://www.a1-team.ru/,pavezlo.ru,,
KURAGA MARKETING,Москва,https://kuraga.agency,,,,,,,https://kuraga.agency,pavezlo.ru,,
E-Promo,Москва,https://www.e-promo.ru,,,,,,,https://www.e-promo.ru,pavezlo.ru,,
Just Up agency,Москва,https://justupagency.ru/,,,,,,,https://justupagency.ru/,pavezlo.ru,,
ЗЕКСЛЕР,Москва,https://zexler.ru,,,,,,,https://zexler.ru,pavezlo.ru,,
The кeys,Москва,https://thekeysmarketing.ru/,,,,,,,https://thekeysmarketing.ru/,pavezlo.ru,,
Twiga,Москва,https://twiga.ru/,,,,,,,https://twiga.ru/,pavezlo.ru,,
Green-sport,Москва,https://green-sport.ru/,,,,,,,https://green-sport.ru/,pavezlo.ru,,
